Title,Price,Tags
Stacklands,$4.99,Casual | Simulation | Card Game | City Builder
Godfall Ultimate Edition,$29.99,Action | RPG | Action RPG | Hack and Slash
Chinatown Detective Agency,$24.99,Detective | Investigation | Point & Click | Story Rich
Forgive Me Father,$16.99,Action | FPS | Lovecraftian | Shooter
CHRONO CROSS: THE RADICAL DREAMERS EDITION,$19.99,RPG | JRPG | Exploration | Party-Based RPG
LEGO® Star Wars™: The Skywalker Saga,$49.99,LEGO | Adventure | Open World | Space
LEGO® Star Wars™: The Skywalker Saga,$49.99,LEGO | Adventure | Open World | Space
Knightfall: A Daring Journey,$5.99,Indie | Racing | Horses | Online Co-Op
Knightfall: A Daring Journey,$5.99,Indie | Racing | Horses | Online Co-Op
Cosmonious High,$29.99,VR Only Adventure | VR | Colorful | Funny
Coromon,$19.99,Creature Collector | Collectathon | Turn-Based | Difficult
Crystal Project,$13.99,RPG | Adventure | JRPG | Voxel
Weird West,$39.99,Western | Isometric | RPG | Immersive Sim
DEATH STRANDING DIRECTOR'S CUT,$39.99,Action | Adventure | Walking Simulator | Exploration
Patrick's Parabox,$19.99,Sokoban | Puzzle | Abstract | Minimalist
Nightmare Reaper,$24.99,FPS | Looter Shooter | Retro | Violent
The one who pulls out the sword will be crowned king,Free,Free to Play | Indie | Short | Dark Comedy
Downfall - A Slay the Spire Fan Expansion,Free,Indie | Strategy | RPG | Mod
Just Act Natural,None,Action | Casual | Multiplayer | Arcade
Ghostwire: Tokyo,$59.99,Singleplayer | Supernatural | First-Person | Action-Adventure
Ghostwire: Tokyo,$59.99,Singleplayer | Supernatural | First-Person | Action-Adventure
Animal Shelter,$19.99,Life Sim | Dog | Cats | Education
OBS Studio,Free,Souls-like | Utilities | Video Production | Free to Play
Tap Ninja,Free To Play,Casual | Idler | Clicker | Ninja
Persona 4 Arena Ultimax,$29.99,Action | 2D Fighter | Anime | Fighting
Shredders,$29.99,Sports | Snowboarding | Multiplayer | Character Customization
TUNIC,$29.99,Exploration | Souls-like | Puzzle | RPG
Wobbledogs,$19.99,Dog | Sandbox | Cute | Life Sim
WWE 2K22,$44.99,Simulation | Sports | PvP | Local Co-Op
Urbek City Builder: Prologue,Free To Play,City Builder | Building | Management | Sandbox
LEGO® Star Wars™: The Skywalker Saga,$49.99,LEGO | Adventure | Open World | Space
ELDEN RING,$59.99,Souls-like | Relaxing | Dark Fantasy | RPG
LEGO® Star Wars™: The Skywalker Saga,$49.99,LEGO | Adventure | Open World | Space
Steam Deck,$399.00,
Steam Deck,$399.00,
Steam Deck,$399.00,
Call of Duty®: Black Ops III,$19.79,Multiplayer | FPS | Zombies | Shooter
Sea of Thieves,$19.99,Adventure | Multiplayer | Open World | Pirates
Valve Index VR Kit,$999.00,
Halo: The Master Chief Collection,$15.99,Great Soundtrack | Action | FPS | Multiplayer
Call of Duty®: Black Ops III,$19.79,Multiplayer | FPS | Zombies | Shooter
Rust,$39.99,Survival | Crafting | Multiplayer | Open World
Rust,$39.99,Survival | Crafting | Multiplayer | Open World
Midnight Ghost Hunt,$19.99,Early Access | Combat | Multiplayer | Team-Based
Call of Duty®: Black Ops II,$19.79,Action | Multiplayer | FPS | Shooter
Days Gone,$24.99,Open World | Zombies | Post-apocalyptic | Singleplayer
Hell Let Loose,$26.79,Action | Shooter | World War II | FPS
WWE 2K22,$44.99,Simulation | Sports | PvP | Local Co-Op
Ready or Not,$39.99,Tactical | Realistic | FPS | Multiplayer
DEATHLOOP,$29.99,FPS | Action | First-Person | Stealth
Phasmophobia,$13.99,VR Supported Horror | Online Co-Op | Multiplayer | Psychological Horror
Horizon Zero Dawn™ Complete Edition,$24.99,Open World | Adventure | Female Protagonist | Singleplayer
Forza Horizon 5,$50.99,Racing | Open World | Driving | Adventure
No Man's Sky,$29.99,VR Supported Open World | Open World Survival Craft | Space | Exploration
Destiny 2: The Witch Queen,$31.99,Action | Adventure | Free to Play | Looter Shooter
Halo Infinite (Campaign),$47.99,Action | Adventure | Shooter | FPS
CHRONO CROSS: THE RADICAL DREAMERS EDITION,$19.99,RPG | JRPG | Exploration | Party-Based RPG
Godfall Ultimate Edition,$29.99,Action | RPG | Action RPG | Hack and Slash
Risk of Rain 2: Survivors of the Void,$14.99,Action | Indie | Co-op | Action Roguelike
Project Zomboid,$19.99,Survival | Zombies | Open World | Open World Survival Craft
Kung Fu Grand King,None,RPG | Action | JRPG | Anime
Ib,None,Female Protagonist | 2D | Horror | Cute
Epiphany City,None,Story Rich | Female Protagonist | Puzzle | Funny
B.I.O.T.A.,None,Action | 2D Platformer | Pixel Graphics | Platformer
Astral Ascent,None,Action Roguelike | Roguelite | Pixel Graphics | Hack and Slash
Uragun,None,Early Access | Action | Top-Down Shooter | Bullet Hell
Sephonie,None,3D Platformer | Exploration | Platformer | 3D
Car Detailing Simulator,None,Simulation | Automobile Sim | Singleplayer | Realistic
Lumencraft,None,Strategy | Action Roguelike | Tower Defense | Action
Mechanic 8230: Escape from Ilgrot,None,Adventure | Point & Click | 3D | Puzzle
CRIMESIGHT,None,Simulation | PvP | Social Deduction | Strategy
ABRISS - build to destroy,None,Early Access | Minimalist | Destruction | Simulation
Ghostlore,None,Early Access | Character Customization | Crafting | Action RPG
Cat Cafe Manager,None,Simulation | Strategy | Building | Management
ACTION SANDBOX,None,Simulation | Sandbox | Physics | Destruction
Dōkyūsei: Bangin' Summer,None,Dating Sim | Romance | Comedy | 1990's
隐世神剑传,None,Adventure | Action | RPG | Action RPG
Cultivation Tales,None,Early Access | Sandbox | Action | Action Roguelike
Dark Moonlight,None,Action | Adventure | Interactive Fiction | Survival
Warstride Challenges,None,Score Attack | Shooter | Violent | Action
The Iron Oath,None,Early Access | RPG | Tactical RPG | Turn-Based Combat
Winter Ember,None,Action | Action RPG | Adventure | Stealth
Glover,None,Precision Platformer | Action | 3D Platformer | Platformer
Fallen Aces,None,FPS | Immersive Sim | Comic Book | Action
Somerville,None,Adventure | 3D | Sci-fi | Cinematic
Aircraft Carrier Survival,None,Simulation | Naval Combat | Action | Strategy
Ember Knights,None,Action Roguelike | Roguelite | Pixel Graphics | Dungeon Crawler
Loopmancer,None,Platformer | Action | Hack and Slash | Violent
APICO,None,Exploration | Immersive Sim | Collectathon | Education
Gloomwood,None,FPS | Stealth | Immersive Sim | Survival Horror
Call of Duty®: Black Ops III,$19.79,Multiplayer | FPS | Zombies | Shooter
Sea of Thieves,$19.99,Adventure | Multiplayer | Open World | Pirates
Halo: The Master Chief Collection,$15.99,Great Soundtrack | Action | FPS | Multiplayer
Call of Duty®: Black Ops III,$19.79,Multiplayer | FPS | Zombies | Shooter
Days Gone,$24.99,Open World | Zombies | Post-apocalyptic | Singleplayer
Call of Duty®: Black Ops II,$19.79,Action | Multiplayer | FPS | Shooter
